original_title,year,acquisition_type,film_stock_or_camera_type,verification_status,source_or_basis,source_url,uncertainty_note
Little Women (2019),2019,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Lock Stock and Two Smoking Barrels (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Locke (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Logan (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Logan Lucky (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Looper (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Lord of War (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Lost Highway (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Lost in Translation (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Love Actually (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
"Love, Simon (2018)",2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Lucky Number Slevin (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Mad Max 2 The Road Warrior (1981),1981,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Magnolia (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Mallrats (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Man On The Moon (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Man of Steel (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Man on Fire (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Manchester By The Sea (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Margin Call (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Marley and Me (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
